,abv,ibu,id,name,style,brewery_id,ounces
2000,0.047,9.0,2122,Point Special (2013),American Adjunct Lager,131,12.0
2001,0.047,9.0,2121,Point Special (2012),American Adjunct Lager,131,12.0
2002,0.047,9.0,2115,Point Special Lager,American Adjunct Lager,131,16.0
2003,0.062,,1450,St. Benedict's Winter Ale,Winter Warmer,131,12.0
2004,0.057,15.0,1357,Point Oktoberfest,Märzen / Oktoberfest,131,16.0
2005,0.052000000000000005,7.0,1225,Point Nude Beach Summer Wheat,American Pale Wheat Ale,131,16.0
2006,0.05,7.0,816,Point Nude Beach Summer Wheat,American Pale Wheat Ale,131,12.0
2007,0.05,7.0,772,Point Nude Beach Summer Wheat (2011),American Pale Wheat Ale,131,12.0
2008,0.035,,684,Drop Dead Blonde,American Blonde Ale,131,12.0
2009,0.049,13.0,650,Three Kings Ale,Kölsch,131,12.0
2010,0.057,15.0,456,Point Oktoberfest,Märzen / Oktoberfest,131,12.0
2011,0.054000000000000006,32.0,357,2012 Black Ale,American Brown Ale,131,12.0
2012,0.05,7.0,141,Point Nude Beach Summer Wheat (2010),American Pale Wheat Ale,131,12.0
2013,0.054000000000000006,33.0,140,Point Cascade Pale Ale,American Pale Ale (APA),131,12.0
2014,0.047,14.0,139,Point Amber Classic,American Amber / Red Lager,131,12.0
2015,0.047,9.0,138,Point Special Lager,American Adjunct Lager,131,12.0
2016,0.051,31.0,953,Wisco Disco,American Amber / Red Ale,486,16.0
2017,0.05,,1983,Brontide,American Black Ale,255,12.0
2018,0.05,,1631,Brontide,American Black Ale,255,12.0
2019,0.045,,1344,Classique,Saison / Farmhouse Ale,255,12.0
2020,0.045,,922,Sunsplash Golden Ale (2004),American Blonde Ale,492,12.0
2021,0.051,25.0,1410,Sand Island Lighthouse,Kölsch,412,12.0
2022,0.05,30.0,925,Lily Flagg Milk Stout,Milk / Sweet Stout,412,12.0
2023,0.07200000000000001,70.0,637,Monkeynaut IPA,American IPA,412,12.0
2024,0.05,,2369,Straub Beer (Current),American Adjunct Lager,129,12.0
2025,0.040999999999999995,8.0,2233,American Lager,American Adjunct Lager,129,12.0
2026,0.040999999999999995,8.0,2232,American Amber,American Amber / Red Lager,129,12.0
2027,0.032,13.0,2231,American Light,Light Lager,129,12.0
2028,0.053,49.0,2352,Extra Pale Ale,American Pale Ale (APA),138,12.0
2029,0.053,40.0,2549,Make It So,Extra Special / Strong Bitter (ESB),58,12.0
2030,0.047,55.0,2473,Hopvale Organic Ale,American Pale Ale (APA),58,16.0
2031,0.083,100.0,2415,Unchained #18 Hop Silo,American Double / Imperial IPA,58,16.0
2032,0.052000000000000005,29.0,2605,Tip Off,Altbier,25,16.0
2033,0.054000000000000006,,2215,Java Mac,Scottish Ale,25,16.0
2034,0.054000000000000006,23.0,2164,Cowbell,American Porter,25,16.0
2035,0.057999999999999996,20.0,2085,Hop Up Offa That Brett (2014),Belgian Pale Ale,25,16.0
2036,0.083,23.0,2084,PV Muckle (2013),Scotch Ale / Wee Heavy,25,16.0
2037,0.099,36.0,2083,Bourbon Barrel Batch 666: Sympathy for the Devil,Belgian Dark Ale,25,16.0
2038,0.09,30.0,2082,Whip Fight,Scotch Ale / Wee Heavy,25,16.0
2039,0.053,23.0,2081,Port Barrel Wee Mac ,Scotch Ale / Wee Heavy,25,16.0
2040,0.064,75.0,2001,Fistful Of Hops Red,American IPA,25,16.0
2041,0.063,75.0,2000,Fistful of Hops Orange,American IPA,25,16.0
2042,0.064,75.0,1999,Fistful Of Hops Blue,American IPA,25,16.0
2043,0.064,75.0,1996,Fistful of Hops Green,American IPA,25,16.0
2044,,,1948,30 Min Coma,Belgian IPA,25,16.0
2045,0.09,30.0,1656,Wee Muckle,Scotch Ale / Wee Heavy,25,16.0
2046,0.065,55.0,1599,Royal Brat,Extra Special / Strong Bitter (ESB),25,16.0
2047,0.075,77.0,1420,Grapefruit Jungle (GFJ),American IPA,25,16.0
2048,0.055999999999999994,50.0,1389,Osiris Pale Ale,American Pale Ale (APA),25,16.0
2049,0.099,75.0,1367,Bourbon Barrel Aged Timmie,Russian Imperial Stout,25,16.0
2050,0.063,23.0,1366,Stupid Sexy Flanders,Flanders Oud Bruin,25,16.0
2051,,,1347,Bourbon Barrel Cowbell,American Porter,25,16.0
2052,0.054000000000000006,,1314,Popcorn Pilsner,German Pilsener,25,16.0
2053,0.071,27.0,1128,Ring of Dingle,Irish Dry Stout,25,16.0
2054,0.054000000000000006,23.0,1127,Bourbon Barrel Wee Mac,Scottish Ale,25,16.0
2055,0.099,60.0,1049,Bourbon Barrel Johan,English Barleywine,25,16.0
2056,0.07,,934,The Deuce,American Brown Ale,25,16.0
2057,0.09,24.0,923,The Velvet Fog,Quadrupel (Quad),25,16.0
2058,0.055,23.0,874,Sun King Oktoberfest,Märzen / Oktoberfest,25,16.0
2059,0.052000000000000005,24.0,739,Indianapolis Indians Lager,Dortmunder / Export Lager,25,16.0
2060,0.052000000000000005,24.0,698,Indians Victory Lager (2012),Dortmunder / Export Lager,25,16.0
2061,0.08,,660,Chaka,Belgian Strong Pale Ale,25,16.0
2062,0.091,91.0,651,Isis,American Double / Imperial IPA,25,16.0
2063,0.09,30.0,584,Wee Muckle (2011),Scotch Ale / Wee Heavy,25,16.0
2064,0.075,77.0,532,Grapefruit Jungle (GFJ) (2011),American IPA,25,16.0
2065,0.055,23.0,526,Sun King Oktoberfest (2011),Märzen / Oktoberfest,25,16.0
2066,0.099,60.0,394,Johan the Barleywine,English Barleywine,25,16.0
2067,0.054000000000000006,23.0,213,Wee Mac Scottish-Style Ale,Scottish Ale,25,16.0
2068,0.053,20.0,55,Sunlight Cream Ale,Cream Ale,25,16.0
2069,0.055999999999999994,50.0,54,Osiris Pale Ale (2010),American Pale Ale (APA),25,16.0
2070,0.045,,1207,Dam Lager,American Amber / Red Lager,455,12.0
2071,0.07,,1206,Red Clay IPA,American IPA,455,12.0
2072,0.07200000000000001,,2543,Todd the Axe Man,American IPA,61,16.0
2073,0.057,,2409,Doomtree,Extra Special / Strong Bitter (ESB),61,16.0
2074,0.099,85.0,1739,BLAKKR,American Black Ale,61,16.0
2075,0.073,69.0,1112,Overrated! West Coast Style IPA,American IPA,61,16.0
2076,0.075,90.0,329,WET,American IPA,61,16.0
2077,0.04,37.0,19,Bitter Brewer,English Bitter,61,16.0
2078,0.055,34.0,18,SurlyFest,Rye Beer,61,16.0
2079,0.051,45.0,17,Coffee Bender,American Brown Ale,61,16.0
2080,0.051,45.0,16,Bender,American Brown Ale,61,16.0
2081,0.09699999999999999,120.0,15,Abrasive Ale,American Double / Imperial IPA,61,16.0
2082,0.051,20.0,14,Hell,Keller Bier / Zwickel Bier,61,16.0
2083,0.067,33.0,13,CynicAle,Saison / Farmhouse Ale,61,16.0
2084,0.062,99.0,12,Furious,American IPA,61,16.0
2085,0.073,50.0,1242,Big Nose,American IPA,447,12.0
2086,0.05,10.0,1241,Cotton Mouth,Witbier,447,12.0
2087,0.055999999999999994,35.0,1240,Stump Knocker Pale Ale,American Pale Ale (APA),447,12.0
2088,0.05,38.0,1239,Midnight Oil,Oatmeal Stout,447,12.0
2089,0.059000000000000004,18.0,1238,Wild Night,Cream Ale,447,12.0
2090,0.045,,1554,Bermuda Triangle Ginger Beer,Herbed / Spiced Beer,381,12.0
2091,0.055,35.0,2568,Take Two Pils,German Pilsener,49,12.0
2092,0.057,,2551,Waterkeeper,Hefeweizen,49,12.0
2093,0.064,,1710,SweetWater IPA,American IPA,49,12.0
2094,0.054000000000000006,,1709,420 Extra Pale Ale,American Pale Ale (APA),49,12.0
2095,0.08,95.0,1229,Dodgy Knight Imperial IPA,American Double / Imperial IPA,449,12.0
2096,0.05,,1164,TailGate Saison,Saison / Farmhouse Ale,449,12.0
2097,0.05,44.0,663,TailGate IPA,American IPA,449,24.0
2098,0.05,44.0,662,TailGate IPA,American IPA,449,12.0
2099,0.049,28.0,623,TailGate Hefeweizen,Hefeweizen,449,24.0
2100,0.05,19.0,622,Blacktop Blonde,American Blonde Ale,449,24.0
2101,0.05,19.0,362,Blacktop Blonde,American Blonde Ale,449,12.0
2102,0.049,28.0,361,TailGate Hefeweizen,Hefeweizen,449,12.0
2103,0.085,34.0,2575,Wooden Rooster,Tripel,45,16.9
2104,0.048,20.0,2555,Ginger Peach Saison,Saison / Farmhouse Ale,45,16.0
2105,0.062,35.0,1736,Zombie Monkie,American Porter,45,16.0
