"DC_ID","BRD_CD","CRT_DTTM","CRT_USER_ID","LST_UPDT_DTTM","LST_UPDT_USER_ID"
"4789","10",2011-10-07 02:40:15,BRICK-524_5,2014-01-21 14:14:24,Lo6d2u2
"4790","10",2011-10-07 02:40:15,BRICK-524_5,2014-01-21 14:14:37,Lo6d2u2
"4791","10",2011-10-07 02:40:15,BRICK-524_5,2011-10-07 02:40:15,BRICK-524_5
"4792","10",2011-10-07 02:40:15,BRICK-524_5,2014-01-21 14:14:44,Lo6d2u2
"12","1",2011-10-14 14:05:14,BRICK-406_4,2012-02-23 02:09:00,TD-45934
"12","2",2011-10-14 14:06:12,BRICK-406_4,2012-02-23 02:09:00,TD-45934
"12","3",2011-10-14 14:06:26,BRICK-406_4,2012-02-23 02:09:00,TD-45934
"12","10",2011-10-14 14:06:34,BRICK-406_4,2012-02-23 02:09:00,TD-45934
"3616","24",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"3753","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3654","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3643","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3754","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3684","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3758","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3705","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3640","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3642","24",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"3639","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3653","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3614","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3618","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3732","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3742","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3629","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3658","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3696","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3615","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3740","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3627","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3624","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3656","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3726","24",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"3770","24",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"3756","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3699","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3659","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3737","24",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"3722","24",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"3667","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3749","24",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"3739","24",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"3707","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3735","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3668","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3728","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3720","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3766","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3685","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3719","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3660","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3706","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3622","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3752","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3718","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3641","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3634","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3651","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3694","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3755","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3631","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3625","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3741","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3733","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3762","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3689","24",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"3677","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3725","24",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"3695","24",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"3757","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3764","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3676","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3761","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3734","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3763","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"3691","24",2012-08-30 02:46:44,JPN-804_8,2012-08-30 02:46:44,JPN-804_8
"7253","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"7297","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"7296","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"4026","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"4022","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"7298","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"4021","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"4028","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"4029","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"4036","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"4040","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"7254","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"4039","25",2012-08-30 02:46:43,JPN-804_8,2012-08-30 02:46:43,JPN-804_8
"4868","10",2012-04-24 17:30:40,L2-APP,2014-01-21 14:17:28,Lo6d2u2
"4798","10",2012-04-24 17:30:40,L2-APP,2014-01-21 14:17:54,Lo6d2u2
"4869","10",2012-04-24 17:30:40,L2-APP,2012-04-24 17:30:40,L2-APP
"8998","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"9017","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"9018","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"9019","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"8997","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3023","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3027","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3029","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3031","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3035","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3036","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3037","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3041","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3043","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3044","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3046","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3047","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3048","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3049","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3124","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3126","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3127","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3128","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3135","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3138","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3139","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3141","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3142","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3145","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3146","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3147","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3150","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3152","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3154","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3155","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3156","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3159","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3162","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3164","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3166","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3167","2",2012-05-10 04:17:15,BRICK-956_3,2013-08-14 19:00:55,MINIQ-3343_9
"3168","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3169","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3171","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3177","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3179","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3181","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3182","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3186","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3188","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3189","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3190","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3191","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3193","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3194","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3196","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3198","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"3233","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"6717","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"6745","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"6746","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"6750","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"6764","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"6765","2",2012-05-10 04:17:15,BRICK-956_3,2013-08-14 19:00:55,MINIQ-3343_9
"7651","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"7652","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"7654","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"7657","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"7663","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"7664","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"7667","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"7672","2",2012-05-10 04:17:15,BRICK-956_3,2013-08-14 19:00:55,MINIQ-3343_9
"7673","2",2012-05-10 04:17:15,BRICK-956_3,2012-05-10 04:17:15,BRICK-956_3
"7675","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"7677","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"7678","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"7679","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"7681","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"7685","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"7686","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"7687","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"7688","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"7690","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"7693","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"7695","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"8004","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"8005","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"8023","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"8034","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
"8040","2",2012-05-10 04:17:16,BRICK-956_3,2012-05-10 04:17:16,BRICK-956_3
