"DC_ID","ADDR_LN1_TXT","ADDR_LN2_TXT","ADDR_LN3_TXT","CITY_NM","CNTY_NM","ST_PROV_CD","PSTL_CD","CTRY_CD","PHN_NBR","LATITUDE","LONGITUDE","OPR_STRT_TM","OPR_END_TM","CRT_USER_ID","CRT_DTTM","LST_UPDT_USER_ID","LST_UPDT_DTTM"
"8247","552-554 Broadway",,,NEW YORK,,NY,"10012",US,"212 925-0308",40.729124,-73.991582,2011-10-01 08:00:00,2040-01-01 21:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8251","2901 S CAPITAL OF TEXAS HWY",,,AUSTIN,,TX,"78746",US,"512 328-4484",30.2971,-97.818113,2011-10-01 09:00:00,2040-01-01 22:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8254","19501 BISCAYNE BLVD.",,,AVENTURA,,FL,"33180",US,"305 933-4722",25.959719,-80.140267,2011-10-01 08:00:00,2040-01-01 21:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8255","3500 LAS VEGAS BLVD SO Space No. F1",,,LAS VEGAS,,NV,"89109",US,"702 650-5623",35.989223,-115.40521,2011-10-01 11:00:00,2040-01-01 23:59:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8257","2126 ABBOTT MARTIN RD.",,,NASHVILLE,,TN,"37215",US,"615 385-7750",36.086531,-86.885987,2011-10-01 09:00:00,2040-01-01 22:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8260","3301 VETERANS MEMORIAL BLVD",,,METAIRIE,,LA,"70002",US,"504 832-9294",30.008003,-90.176491,2011-10-01 09:00:00,2040-01-01 22:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8261","8405 PARK MEADOWS CENTER DRIVE",,,LITTLETON,,CO,"80124",US,"303 792-5780",39.529639,-104.906562,2011-10-01 10:00:00,2040-01-01 23:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8266","8001 SO ORANGE BLOSSOM TRAIL",,,ORLANDO,,FL,"32809",US,"407 855-0506",28.463682,-81.394771,2011-10-01 08:00:00,2040-01-01 21:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8281","21 PROVIDENCE PLACE SPACE #B102",,,PROVIDENCE,,RI,"02908",US,"401 270-4765",41.827545,-71.417682,2011-10-01 08:00:00,2040-01-01 21:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8290","1290 Broadway Plaza",,,WALNUT CREEK,,CA,"94596",US,"925 256-7538",37.952389,-121.864451,2011-10-01 11:00:00,2040-01-01 23:59:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8291","4613 26TH AVENUE NORTHEAST",,,SEATTLE,,WA,"98105",US,"206 525-5560",47.432251,-121.803388,2011-10-01 11:00:00,2040-01-01 23:59:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
"8292","209 SUMMIT BLVD",,,BIRMINGHAM,,AL,"35243",US,"205 298-0260",33.445932,-86.750203,2011-10-01 09:00:00,2040-01-01 22:00:00,BRICK-524_6,2011-10-07 02:40:16,BRICK-524_6,2011-10-07 02:40:16
