"DC_ID","GID_MKT_CD","CRT_DTTM","CRT_USER_ID","LST_UPDT_DTTM","LST_UPDT_USER_ID","DC_CPCY_AMT","DC_TYP_CD","STR_DC_MAX_RLSE_ORD_PER_DY","DC_STAT_TYP_CD","DC_SUP_OFST_QTY","ROLLUP_INVENTORY","GID_DC_RESYNC_GRP","DC_DESC","GEO_POSITION_ID","PREFERRED","ISDEFAULT","DC_INV_AVAL_TO_SELL","PARENT_DC_ID"
"3136",US,2011-05-04 02:12:32,TD43132_1,2018-08-24 14:03:49,rop_reset,10,S,10,A,0,Y,BR01,Banana Republic #3136,5651,N,N,Y,"3136"
"8011",US,2011-05-04 02:12:32,TD43132_1,2018-08-24 14:03:49,rop_reset,25,S,25,A,0,Y,BR01,Banana Republic #8011,1243,N,N,Y,"8011"
"8068",US,2011-05-04 02:12:32,TD43132_1,2018-08-24 02:15:19,FIST-942,10,S,10,O,0,N,BR_FIS,Banana Republic #8068,6207,N,N,N,"8068"
"8117",US,2011-05-04 02:12:32,TD43132_1,2018-08-24 14:03:49,rop_reset,20,S,20,A,0,Y,BR01,Banana Republic #8117,511027,N,N,Y,"8117"
"8167",US,2011-05-04 02:12:32,TD43132_1,2018-08-24 14:03:49,rop_reset,30,S,20,A,0,Y,BR01,Banana Republic #8167,5519,N,N,Y,"8167"
"8185",US,2011-05-04 02:12:32,TD43132_1,2018-08-24 14:03:49,rop_reset,25,S,25,A,0,Y,BR01,Banana Republic #8185,508488,N,N,Y,"8185"
"8154",US,2011-10-07 02:40:04,BRICK-524_3,2018-08-24 14:03:49,rop_reset,40,S,40,A,0,Y,BR03,Banana Republic #8154,56149,N,N,Y,"8154"
"8156",US,2011-10-07 02:40:04,BRICK-524_3,2018-08-24 14:03:49,rop_reset,30,S,20,A,0,Y,BR03,Banana Republic #8156,70129,N,N,Y,"8156"
"8159",US,2011-10-07 02:40:04,BRICK-524_3,2018-08-24 14:03:49,rop_reset,25,S,25,A,0,Y,BR03,Banana Republic #8159,47919,N,N,Y,"8159"
"8162",US,2011-10-07 02:40:04,BRICK-524_3,2018-08-24 02:15:19,FIST-942,15,S,15,O,0,N,BR03,Banana Republic #8162,7471,N,N,N,"8162"
