"RSV_ID","SKU_ID","DC_ID","GID_MKT_CD","RSV_QTY","LST_UPDT_DTTM","LST_UPDT_USER_ID","ORDER_NO","XPCT_SHP_DT"
"201808241431326681700","2853520820003","5696",US,1,2018-08-24 14:31:32,ECOM,,
"201808241344165063830","1237890223000","6577",US,1,2018-08-24 13:44:16,ECOM,,
"201808241446139876550","5075920020003","6446",US,1,2018-08-24 14:46:13,ECOM,,
"201808241349325194160","3457580324000","3509",US,1,2018-08-24 13:49:32,ECOM,,
"201808241451093792050","3396040020802","5892",US,1,2018-08-24 14:51:09,ECOM,,
"201808241455499654920","2196980020202","6176",US,1,2018-08-24 14:55:49,ECOM,,
"201808241431561347070","2842680220004","3994",US,1,2018-08-24 14:31:56,ECOM,,
"201808231524124969830","2857150420002","5934",US,1,2018-08-23 15:42:27,ordervalidate,TK71DVW,
"201808241355455597760","2196980021202","6624",US,1,2018-08-24 13:55:45,ECOM,,
"201808241356206927920","2225020020002","6030",US,1,2018-08-24 13:56:20,ECOM,,
"201808241439333256100","7570530320005","7176",US,1,2018-08-24 14:39:33,ECOM,,
"201808241357112741270","1473380021107","5896",US,1,2018-08-24 13:57:11,ECOM,,
"201808241406301124850","2877910020003","4587",US,1,2018-08-24 14:06:30,ECOM,,
"201808241439424305290","2181780120004","5717",US,1,2018-08-24 14:49:30,ordervalidate,TK6QPWX,
"201808241405133167280","8989190020006","4212",US,5,2018-08-24 14:05:13,ECOM,,
"201808241440294908340","5077640520002","5506",US,1,2018-08-24 14:40:29,ECOM,,
"201808241439424639370","2184981720004","5717",US,1,2018-08-24 14:49:30,ordervalidate,TK6QPWX,
"201808241441232011870","2876620420004","5699",US,1,2018-08-24 14:41:23,ECOM,,
"201808241201226355930","2196280020002","6486",US,1,2018-08-24 12:06:13,ordervalidate,TK6RLYB,
"201808241439425234990","6025650021402","5717",US,2,2018-08-24 14:49:30,ordervalidate,TK6QPWX,
"201808241439425399560","6025660021402","5717",US,2,2018-08-24 14:49:30,ordervalidate,TK6QPWX,
"201808241324202951670","2865151223000","5949",US,1,2018-08-24 13:24:20,ECOM,,
"201808240943416168430","7757600320001","5669",US,1,2018-08-24 09:47:08,ordervalidate,TK6SCDX,
"201808241441320376630","7755320123000","6370",US,1,2018-08-24 14:41:32,ECOM,,
"201808241201226198150","2196280120002","6486",US,1,2018-08-24 12:06:13,ordervalidate,TK6RLYB,
"201808241201226519920","1397780020004","6486",US,1,2018-08-24 12:06:13,ordervalidate,TK6RLYB,
"201808241201228565680","7570530320007","6486",US,1,2018-08-24 12:06:13,ordervalidate,TK6RLYB,
"201808241442159624950","2913180421107","3283",US,1,2018-08-24 14:42:15,ECOM,,
"201808241330068905800","3416700121106","5975",US,1,2018-08-24 13:30:06,ECOM,,
"201808241334156046960","2203940120002","5155",US,1,2018-08-24 13:34:15,ECOM,,
"201808241344192249730","2868900524000","6484",US,1,2018-08-24 13:44:19,ECOM,,
"201808171444528034220","2014480920002","5678",US,1,2018-08-17 14:56:03,ordervalidate,TK8LGYS,
"201808171444528605420","1419040021202","5678",US,1,2018-08-17 14:56:03,ordervalidate,TK8LGYS,
"201808241519413513830","2911930024000","7170",US,1,2018-08-24 15:19:41,ECOM,,
"201808241335325582040","7730860020005","5303",US,1,2018-08-24 13:35:32,ECOM,,
"201808241401280892960","2870950020007","3794",US,1,2018-08-24 14:01:28,ECOM,,
"201808241522465595470","6023620021402","6043",US,1,2018-08-24 15:22:46,ECOM,,
"201808241443111275180","2862970225000","6528",US,1,2018-08-24 14:43:11,ECOM,,
"201808211808159568350","3327380020001","4581",US,1,2018-08-21 18:29:20,ordervalidate,TK7BFSS,
"201808241400042804810","2893510120002","3800",US,1,2018-08-24 14:00:04,ECOM,,
"201808241513265593890","2052210121104","5975",US,1,2018-08-24 15:13:26,ECOM,,
"201808220821418530920","2176380920004","3397",US,1,2018-08-22 08:37:17,ordervalidate,TK797Q7,
"201808241418594312410","2853320020036","4232",US,1,2018-08-24 14:18:59,ECOM,,
"201808241406087934790","1483900520008","6443",US,1,2018-08-24 14:06:08,ECOM,,
